price,ratings,pagenum,originalprice,discount,brand,processor,rear_camera_mp,front_camera_mp,phone_warranty_category,box_warranty_category,battery_m_ah,display_inches,ram,storage
11999,4.3,7,15499,22%,POCO,Dimensity 6300 Processor,50MP,8MP,1 Year,1 Year,6000,6.9,6,128
27769,4.4,7,29999,7%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,1 Year,7300,6.7,12,256
709,4.1,7,1699,58%,Jio,Dimensity 6300 Processor,0.3MP,0MP,1 Year,No Warranty,1000,4.5,8,0
1430,3.8,7,1999,28%,Micromax,Dimensity 6300 Processor,0.3MP,0.3MP,No Warranty,No Warranty,2700,2.4,8,0
14999,4.3,7,17999,16%,POCO,Snapdragon 6s Gen 3 5G Processor,50MP,50MP,1 Year,1 Year,7000,6.9,8,128
20363,4.4,7,23499,13%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5700,6.77,8,128
899,4.0,8,1499,40%,Kechaoda,Dimensity 6300 Processor,50MP,0MP,Up to 6 Months,No Warranty,5500,0.66,16,0
11477,4.2,8,12999,11%,REDMI,Snapdragon 4s Gen 2 5G Processor,50MP,50MP + 50MP,1 Year,1 Year,5160,6.88,6,128
25999,4.6,8,32999,21%,realme,Dimensity 7400 Ultra Processor,50MP,50MP + 8MP,1 Year,1 Year,10001,6.8,8,128
20167,4.4,8,23499,14%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5700,6.77,8,128
20363,4.4,8,23499,13%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5700,6.77,8,128
22487,4.4,8,24999,10%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5700,6.77,8,256
11999,4.3,8,15499,22%,POCO,Dimensity 6300 Processor,50MP,8MP,1 Year,1 Year,6000,6.9,6,128
11390,4.3,8,13999,18%,realme,Dimensity 6300 Processor,32MP,32MP,1 Year,No Warranty,6000,6.67,4,128
54900,4.6,23,32999,21%,Apple,A15 Bionic Chip,50MP,12MP,1 Year,1 Year,5500,6.1,128,0
1677,4.1,8,2099,20%,LAVA,Mtk Processor,50MP,0MP,1 Year,No Warranty,2575,2.8,32,32
14999,4.3,8,17999,16%,POCO,Snapdragon 6s Gen 3 5G Processor,50MP,50MP,1 Year,1 Year,7000,6.9,8,128
6999,4.3,8,7999,12%,Ai,T615 Processor,50MP,5MP,1 Year,1 Year,5000,6.745,4,64
22599,4.4,8,24999,9%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5700,6.77,8,256
10799,4.1,8,12999,16%,POCO,Dimensity 6300 Processor,50MP,8MP,1 Year,1 Year,5160,6.88,6,128
27999,4.6,8,34999,20%,realme,Dimensity 7400 Ultra Processor,50MP,50MP + 8MP,1 Year,1 Year,10001,6.8,8,256
11878,4.2,8,12999,8%,REDMI,Snapdragon 4s Gen 2 5G Processor,50MP,50MP + 50MP,1 Year,1 Year,5160,6.88,6,128
64999,4.5,8,79999,18%,MOTOROLA,Snapdragon 8 Gen 5 Processor,50MP,50MP + 50MP + 50MP,1 Year,1 Year,5200,6.8,16,512
13499,4.3,8,18999,28%,POCO,Dimensity 7025 Ultra Processor,50MP,50MP + 2MP,1 Year,1 Year,5110,6.67,6,128
