product_name,price,ratings,features,pagenum,originalprice,Discount,Review
"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)","₹42,999",4.6,8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,21,"₹74,999",42% off,"54,305 Ratings & 3,030 Reviews"
"POCO M8 (Frost Silver, 256 GB)","₹20,999",4.6,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ Display50MP Rear Camera | 20MP Front Camera5520 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,21,"₹24,999",16% off,731 Ratings & 61 Reviews
Kechaoda K115,₹999,4.1,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB3.66 cm (1.44 inch) QVGA Display0.3MP + 0MP | 0MP Front Camera850 mAh BatteryNA Processor3 Months Company Warranty,21,"₹1,499",33% off,"43,589 Ratings & 2,715 Reviews"
"realme Narzo 90 5G (Carbon Black, 128 GB)","₹16,899",4.5,6 GB RAM | 128 GB ROM16.69 cm (6.57 inch) Display50MP Rear Camera7000 mAh Battery12 Months Brand Warranty,21,"₹18,999",11% off,73 Ratings & 5 Reviews
LAVA A3 Torch,"₹1,269",4.2,4 MB RAM | 32 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) HVGA Display0.3MP + 0MP | 0MP Front Camera1750 mAh BatteryMtk Processor1 Year Handset Domestic warranty,22,"₹1,649",23% off,680 Ratings & 44 Reviews
"LAVA Storm Lite 5G (Cosmic Titanium, 128 GB)","₹9,529",4.2,4 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Handset Warranty and 6 Months Warranty on Accessories,22,"₹11,499",17% off,134 Ratings & 10 Reviews
"realme P4 Power 5G (TransSilver, 128 GB)","₹25,999",4.6,8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | Yes10001 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,22,"₹32,999",21% off,"1,008 Ratings & 90 Reviews"
"Tecno Spark Go 2 (Veil White, 64 GB)","₹7,499",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display13MP Rear Camera5000 mAh Lithium Polymer BatteryT7250 Processor1 Year Manufacturer Warranty for Phone,22,"₹8,999",16% off,"2,501 Ratings & 150 Reviews"
"REDMI 14C 5G (Stargaze Black, 128 GB)","₹11,799",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,22,"₹13,999",15% off,"9,171 Ratings & 453 Reviews"
"Tecno Spark 30C 5G (Azure Sky, 64 GB)","₹9,999",4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display48MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Phone,22,"₹11,999",16% off,"1,314 Ratings & 56 Reviews"
Kechaoda K115,₹999,4.1,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB3.66 cm (1.44 inch) QVGA Display0.3MP + 0MP | 0MP Front Camera850 mAh BatteryNA Processor3 Months Company Warranty,22,"₹1,499",33% off,"43,589 Ratings & 2,715 Reviews"
Kechaoda A27,₹899,4,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB1.68 cm (0.66 inch) QVGA Display0MP | 0MP Front Camera800 mAh BatteryNA Processor3 Months Company Warranty,22,"₹1,499",40% off,"16,259 Ratings & 869 Reviews"
"realme 16 Pro 5G (Orchid Purple, 256 GB)","₹36,999",4.5,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display200MP + 8MP | 50MP Front Camera7000 mAh BatteryDimensity 7300 Max Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,22,,,"1,022 Ratings & 113 Reviews"
"realme 16 Pro 5G (Master Gold, 128 GB)","₹34,999",4.5,8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display200MP + 8MP | 50MP Front Camera7000 mAh BatteryDimensity 7300 Max Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,22,,,"1,022 Ratings & 113 Reviews"
itel Ace2 Heera | King Talker | Auto Call Recording | Expendable Storage32GB,₹870,4,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) Display1000 mAh Battery1 year manufacturer Warranty,22,"₹1,099",20% off,355 Ratings & 19 Reviews
"vivo Y31 5G (Rose Red, 128 GB)","₹16,999",4.4,4 GB RAM | 128 GB ROM16.97 cm (6.68 inch) Full HD+ Display50MP + 0.08MP | 8MP Front Camera6500 mAh Battery4 Gen 2 Processor1 Year Warranty,22,"₹19,999",15% off,350 Ratings & 10 Reviews
"IQOO Neo 10 (Titanium Chrome, 256 GB)","₹40,826",4.5,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryQualcomm ProcessorDomestic warranty 1 year for handset and 6 months for accessories,22,"₹40,999",,"1,004 Ratings & 77 Reviews"
Samsung Metro SM-313,₹998,3,4 MB RAM | 16 GB ROM | Expandable Upto 16 GB5.08 cm (2 inch) QVGA Display0.3MP Rear Camera1000 mAh Battery1 Year Manufacturer Warranty,22,"₹1,999",50% off,141 Ratings & 18 Reviews
itel Ace 3 Shine,₹987,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) QVGA Display1000 mAh BatteryUnisoc Processor1 year manufacturer Warranty,22,"₹1,499",34% off,"1,607 Ratings & 67 Reviews"
"realme 14 Pro+ 5G (Pearl White, 256 GB)","₹34,999",4.4,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP + 50MP + 8MP | 32MP Front Camera6000 mAh Battery7s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,22,"₹37,999",7% off,"8,965 Ratings & 963 Reviews"
"REDMI 14C 5G (Starlight Blue, 128 GB)","₹12,199",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,22,"₹14,999",18% off,"10,036 Ratings & 488 Reviews"
"Samsung Galaxy M16 5G (Thunder Black, 128 GB)","₹14,995",4.2,6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,22,"₹17,499",14% off,"1,271 Ratings & 61 Reviews"
"MOTOROLA Signature (PANTONE Carbon, 1 TB)","₹69,999",4.5,16 GB RAM | 1 TB ROM17.27 cm (6.8 inch) Super HD Display50MP + 50MP + 50MP | 50MP Front Camera5200 mAh BatterySnapdragon 8 Gen 5 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,22,"₹84,999",17% off,114 Ratings & 21 Reviews
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 128 GB)","₹20,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories,22,"₹24,999",16% off,"1,23,143 Ratings & 6,345 Reviews"
